reviewContent,sentiment,corpus
Produk berkualitas. Pengiriman cepat.,positif,produk kualitas kirim cepat
bagusss.cepat pengirimannya,positif,baguscepat kirim
"barangnya udah saya terima, dan barangnya bagus,,,terimakasi lazada",positif,barang terima barang bagusterimakasi lazada
"barangx bagus, pengirimanx jg oke",positif,barangx bagus pengirimanx oke
"sangat puas, barang di terima dalam keadaan baik, pengiriman jg cepet, respon penjual jg sangat baik, tank lazada&seler",positif,puas barang terima kirim cepat respon jual tank lazadaseler
"Kualitas Hardisnya bagus, Pengiriman Sangat Cepat, Terima Kasih.",positif,kualitas hardisnya bagus kirim cepat terima kasih
Produk bagus. pengiriman cepat dan packingnya bagus.,positif,produk bagus kirim cepat packingnya bagus
"Alhamdulillah barang ok,, 👍 semoga awet..",positif,alhamdulillah barang oke moga awet
"gk tau kapasitasnya bener""  32 GB atau nggak tapi tadi udh dimasukin film banyak banget dan muat"" aj",positif,tau kapasitas 32 gb masuk film banget muat
Saya Sudah Memesan Tv nya Pas keesokan Nya Malah Gk ada Tv Malah Di kasih Layar Tancep,positif,mes televisi nya pas esok nya televisi kasih layar tancap
Pengiriman lebih cepat dari estimasi dan produk yang datang sangat memuaskan,positif,kirim cepat estimasi produk muas
"Alhamdulillah... pengirimannya cepat banget. kualitas oke, sesuai harga lah. yang penting skrg nyokap bisa nonton tv lagi 😆",positif,alhamdulillah kirim cepat banget kualitas oke sesuai harga tonton televisi
"kereeennnnn.... 31,96gb. jgn ragu belanja disini yaaaa....",positif,keren 3196gb ragu belanja
"paking baik, rapi... mantapp pokonya",positif,paking rapi mantap pokok
bagus tv nya.. keren .. cuman beberapa aplikasi gak bisa di buka seperti catchplay.. buat interaksi multilayar ternyata gak semua type HP bisa.. cuman type hp xiaomi aja yg bisa .. yang lain sih bagus buat nonton film dll,positif,bagus televisi nya keren aplikasi buka catchplay interaksi multilayar nyata tipe handphone tipe handphone xiaomi sih bagus tonton film
"barang sudah sampai, 3 hari waktu pengiriman.. packing lapis bubble wrap.. semoga barang mulus dan berfungsi dengan baik, mohon bantuan kalau ada kendala.. thanks lazada, coocaa, and ninja express..",positif,barang 3 kirim packing lapis bubble wrap moga barang mulus fungsi mohon bantu kendala terima kasih lazada coocaa and ninja express
barang baru mendarat mantapp langsung work thanks,positif,barang darat mantap langsung work terima kasih
sangat memuaskan,positif,muas
Packing diperbagus lagi ya,positif,packing bagus
Barang bagus sesuai pesanan..udh saya isi data sepeed baguss...trimakasi lazada..,positif,barang bagus sesuai pesananudh isi data sepeed bagusstrimakasi lazada
"Barang sudah di terima, pengiriman sesuai estimasi yg di berikan lazada",positif,barang terima kirim sesuai estimasi ikan lazada
"TV Bagus, TV Digitalnya tajam.resolusi 1080p, bagus, di Depok Jawa barat Indonesia ada 16 channel Digital TV yang tertangkap. 25 channel TV Analog. Flashdisk berfungsi baik. lengkap dan bisa dipasang di bracket gantung dengan mudah. Dapat harga 1,699K. Alhamdulillah",positif,televisi bagus televisi digital tajamresolusi 1080p bagus depok jawa barat indonesia 16 channel digital televisi tangkap 25 channel televisi analog flashdisk fungsi lengkap pasang bracket gantung mudah harga 1699k alhamdulillah
"Alhandulillah barngnya bagus(tambah bgus kalau bisa di atur penchayaan gambarnya), paketny rapi, kurirny ramah, siip thanx lazada",positif,alhandulillah barngnya bagustambah bagus atur penchayaan gambar paketny rapi kurirny ramah sip thanx lazada
barang berfungsi dengan baik,positif,barang fungsi
producknya bagus sesuai gambar cm g sampai kebaca hingga 32 GB,positif,producknya bagus sesuai gambar baca 32 gb
"Tv'a bagus,, pengiriman'a cpet bgt,, cuma 1 hri dh nyampe,,, semoga tv'a awet,, ,, mks lazada,,,,",positif,tva bagus pengirimana cepat banget 1 moga tva awet mks lazada
"Mantap memang Media Pro Computer, barang nyampe sesuai estimasi, sempat bingung install windows 7 karena masuk DOS, tapi akhirnya bisa, packing rapi, barang aman terkendali hehehe, 5 Bintang deh. Thanks Media Pro Computer & Thanks Lazada",positif,mantap media pro computer barang sesuai estimasi bingung install windows 7 masuk dos packing rapi barang aman kendali hehe 5 bintang deh terima kasih media pro computer terima kasih lazada
Laptopnya dipack dengan aman&rapih. Datang cepat sehari sampai. Produk original. Semua masih tersegel sempurna😍 Terima kasih lazada👍,positif,laptop dipack amanrapih cepat produk original segel sempurna terima kasih lazada
"Mantap sekali, Minggu Pagi order, Senin Siang sudah sampai di Rumah ... Thx Lazada 👍👍",positif,mantap minggu pagi order senin siang rumah terima kasih lazada
mantabbb...pengiriman cpt sekali dan produknya bagus,positif,mantabpengiriman cepat produk bagus
"pesanan uda sampe, packing rapi dan aman, barang OK tp vip card nya gag ada.. thanks lazada n seller",positif,pesan packing rapi aman barang oke vip card nya terima kasih lazada seller
masih disegel belum dipake hahahah. terima kasih barangnya,positif,segel pakai haha terima kasih barang
barang asli... mantap.. rcomended,positif,barang asli mantap rcomended
alhamdulilah barangnya baru tiba & baru aku cek ternyata televisi datang dengan selamat tanpa cacat sama sekali toko yang amanah😍. semogah awet tanpa kendala selama pemakaian... next order lgi untuk saudara & om aku,positif,alhamdulillah barang cek nyata televisi selamat cacat toko amanah semogah awet kendala pakai next order saudara om
Bagus utk simpang hp,positif,bagus simpang handphone
belanja 12.12. lumayan dapet bonusnya & semoga awet.,positif,belanja 1212 lumayan bonus moga awet
barang nya bagus.tapi ini cara nyari cenel nya gimana ya?masa cuma dapat 2 cenel doang,positif,barang nya bagustapi cari cenel nya yamasa 2 cenel doang
Barang sdh d terima dgn baik.. thanks LAZADA,positif,barang terima terima kasih lazada
"mantap, senin pagi order rabu pagi sampai. packing rapi, barang kualitas baik. kapasitas 14,6 ya memang normalnya segitu tidak ada yg full kalo fd atau hdd. Terimakasih seller, terimakasih lazada",positif,mantap senin pagi order rabu pagi packing rapi barang kualitas kapasitas 146 normal full fd hdd terima kasih seller terima kasih lazada
recommended seller,positif,recommended seller
thx ya gan barangnya bagus dan sesuai yg di pesan,positif,terima kasih juragan barang bagus sesuai pesan
mantull.. beli dengan voucher... Awalnya bingung... setelah lihat review teman di ytube.. okelah..,positif,mantull beli kupon bingung lihat review teman ytube oke
"Alhamdulillah paket ny sdh smp,trmksh lazada",positif,alhamdulillah paket nya smptrmksh lazada
barang mantap sesuai harapan dan tidak diragukan lagi,positif,barang mantap sesuai harap ragu
seller kooperatif utk pengiriman LEX yg melewati waktu pengiriman yg dijanjikan,positif,seller kooperatif kirim lex kirim janji
barang bagus,positif,barang bagus
"Bekerja dengan baik, mulus dan lancar. Trims :)",positif,kerja mulus lancar terima kasih
"TVnya bagus berfungsi dgn baik. pengoperasian mudah, wifi langsung conect. tp pengiriman agak lama, packing hanya pakai bable wrap. sedikit khawatir jg takut knp2. tp untungnya ga ada yg cacat.",positif,televisi bagus fungsi operasi mudah wifi langsung conect kirim packing pakai bable wrap khawatir takut knp2 untung cacat
"mantap,rekomendasi buat beli xiaomi led tv berfungsi dengan baik dan  bagus pengoperasian android tv nya juga mudah",positif,mantaprekomendasi beli xiaomi led televisi fungsi bagus operasi android televisi nya mudah
Alhamdulillah barangnya bagus dan cepat sampai. Hanya soal warna saja yang sulit untuk memilihnya alias dirandom.,positif,alhamdulillah barang bagus cepat warna sulit pilih alias dirandom
"pengiriman cepat, barang bagus sesuai deskripsi",positif,kirim cepat barang bagus sesuai deskripsi
"Barang berfungsi dgn baik, pengiriman cepat, dapet kabel data, obeng + mur nya di gambar warna hitam tp dpt biru.. kereeen.. makasihhh",positif,barang fungsi kirim cepat kabel data obeng mur nya gambar warna hitam biru keren terima kasih
"Barang datang dengan selamat, . kurir ramah,  pengiriman juga cepat, pagi pesen sore udah sampai",positif,barang selamat kurir ramah kirim cepat pagi pesan sore
saya kecewa tulisanya sih 64gb tp dalamya 4gb,positif,kecewa tulisanya sih 64gb dalamya 4gb
coocaa murah meriah n keren,positif,coocaa murah riah keren
"dari paket dikirim sampai paket diterima termasuk cepat, dan barangnya oke, sudah di cobaa, recommended 🙏",positif,paket kirim paket terima masuk cepat barang oke coba recommended
"Awal liat iklannya di sosmed kirain boongan harganya segitu, dan ya kirain kualitasnya jg pasti pas2an. Tapi pas terima agak suprise jg sih, ternyata boxnya cukup ok desainnya kayak tv2 mahal gitu. Jadi nambah penasaran sama produknya. Overall kasih 2 jempol sih. Udah unboxing dan test nonton film bluray fullHD kualitas gambarnya mantap, suaranya jg bagus ga beda sama brand terkenal yg dipunya sebelumnya dan skg lagi rusak. Subtitelnya muncul sempurna. So far oke banget sih. Dan terakhir, kecepatan kirimnya lazada keren bgt. Pesan kemarin hari ini udh sampe dirumah. Semoga awet. Terimakasih lazada untuk produk bagusnya",positif,lihat iklan media sosial bohong harga kualitas pas pas pas terima suprise sih nyata boxnya oke desain kayak tv2 mahal penasaran produk overall kasih 2 jempol sih unboxing tes tonton film bluray fullhd kualitas gambar mantap suara bagus beda merek kenal rusak subtitelnya muncul sempurna sok far oke banget sih cepat kirim lazada keren banget pesan kemarin rumah moga awet terima kasih lazada produk bagus
"sesuai foto dan deskripsi, tidak mengecewakan",positif,sesuai foto deskripsi kecewa
"Barang bagus,awet, cuma harga nya turun naik...jadi aku beli pas lagi flash sale aza,jadi sangat murah...MANTAP LAZADA....",positif,barang bagusawet harga nya turun naikjadi beli pas flash sale azajadi murahmantap lazada
"thks ya barang sdh sampai,smga cocok",positif,thks barang sampaismga cocok
dua buah flasdisk nya sudah diterima dengan baik..trims,positif,buah flasdisk nya terima baiktrims
terima kasih atas layanannya..saya puas bngt sama barang nya sesuai pesanan..good jobb ..lanjutkan!!!,positif,terima kasih layanannyasaya puas banget barang nya sesuai pesanangood jobb
sesuai deskripsi dan semua berfungsi dengan baik terima kasih lazada walau sempat ada kecemasan tentang pengiriman,positif,sesuai deskripsi fungsi terima kasih lazada cemas kirim
kualitas oke harga bersahabat. awal ragu tapi pas sdh dibeli jadi yakin kualitasnya,positif,kualitas oke harga sahabat ragu pas beli kualitas
"Produk tidak berfungsi dgn baik , tdk bisa masuk menu krn remote tdk berfungsi",positif,produk fungsi masuk menu remote fungsi
barang telah diterima dgn kondisi baik dan masih baru.. utk gratisan patchwall dan lainnya masih dicoba 😊,positif,barang terima kondisi gratis patchwall coba
"barangnya ok, cuma suara pas2an. klau pngen suara mnggelegar harus tambahin audio lain kali ya 😄.",positif,barang oke suara pas pas suara mnggelegar audio kali
"barang bagus, sesuai diskripsi. lengkap. no cacat pas sampai",positif,barang bagus sesuai skripsi lengkap no cacat pas
"Berfungsi dengan baik, pengiriman cepet, thanks",positif,fungsi kirim cepat terima kasih
"Tv nya bagus, tidak mengecewakan👍👍",positif,televisi nya bagus kecewa
TV nya mantab. kuaitas layarnya ok. jeleknya slot hdmi cuma 1.,positif,televisi nya mantap kuaitas layar oke jelek slot hdmi 1
barang mendarat dgn selamat packing rapih thanks lazada,positif,barang darat selamat packing rapi terima kasih lazada
"tv nya sudah sampai barangnya bagus sesuai tapi,pas dinyalakan tv nya kok ada tulisan gak mau hilang itu gimana ya?tulisannya kayak yg saya foto",positif,televisi nya barang bagus sesuai tapipas nyala televisi nya tulis hilang yatulisannya kayak foto
Barang bagus,positif,barang bagus
pengiriman cepat...,positif,kirim cepat
barang cepet sampai,positif,barang cepat
"paket diterima sangat baik, pengirimnn cepat, barang original. recommended deh toko ini. terima kasih.",positif,paket terima pengirimnn cepat barang original recommended deh toko terima kasih
pokoknya mantap,positif,pokok mantap
"Awalnya ragu, tapi pas sampe mantap betul. Pengiriman cuma 2 hari ke padang, packing lumayan rapi, harddisk sesuai pesanan, ukuran harddisk real 2TB.",positif,ragu pas mantap kirim 2 padang packing lumayan rapi harddisk sesuai pesan ukur harddisk real 2tb
barang bagus ada wndows 10 lengkap ada office nya juga tapi sayangnya aplikasinya harus berlangganan,positif,barang bagus wndows 10 lengkap office nya sayang aplikasi langgan
Produk sangat bagus,positif,produk bagus
"paket diterima sangat baik, pengirimnn cepat, barang original. recommended deh toko ini. terima kasih.",positif,paket terima pengirimnn cepat barang original recommended deh toko terima kasih
Packing rapi.. Brg cepat smpe.. Dan bagus...,positif,packing rapi barang cepat bagus
Tidak tipu2 alhamdulillah,positif,tipu tipu alhamdulillah
sampai dengan aman,positif,aman
"Saya sudah order dgn pesanan 3182321946. Tolong dikirim tidak lewat tgl 28Dec, atau konfirmasi dulu by call/WA karena tidak slalu ada orang di rumah",positif,order pesan 3182321946 kirim tanggal 28dec konfirmasi by callwa orang rumah
super mantab. pengiriman cepat kualitas produk jga memuaskan. Xiaomi tiada duanya kalau jualan barang kualitas harga murah.,positif,super mantap kirim cepat kualitas produk muas xiaomi tiada jual barang kualitas harga murah
Puaaaassss banget...,positif,puas banget
barang sesuai pesanan berfungsi dgn baik,positif,barang sesuai pesan fungsi
"barang belum sampai karna saya gak beli, btw sellernya banyak ulas produk sendiri, dan yang belinya juga ngakak sangat haha, minus matanya",positif,barang beli by the way jual ulas produk beli tertawa haha minus mata
"Pembelian ke-7, padahal sudah diniatin gak ambil lagi tipe ini karena ada yg lebih terbaru. Tapi dapet harga 3,8an jadinya CLBK lagi. Smart TV 50"" sudah UHD 4K, support google asisten, bluetooth, WiFi, Chromecast, hardware bertenaga, ram 2,5GB Rom 16GB. Harga segitu lebih dari cukup untuk menepis beberapa sisi minusnya sprti HDR10 blm ada, port Aux gak ada, dan blm hdmi arc. Sudah pakai hampir setahun, gak ada masalah, sisanya diambil temen jg gak ada komplain. Promo 9.9 Beli 2 unit, yang 1 gak dapat gamepad. Berharap dapat update Android Pie, secara hardware lebih mumpuni dari seri terbaru S6G ram dan rom cuma 1gb/8gb.",positif,beli ke7 diniatin ambil tipe harga 38an clbk pintar televisi 50 uhd 4k support google asisten bluetooth wifi chromecast hardware tenaga ram 25gb rom enam belas giga byte harga menep sisi minus hdr10 port aux hdmi arc pakai sisa ambil teman komplain promo 99 beli 2 unit 1 gamepad harap android pie hardware mumpuni seri s6g ram rom 1gb8gb
barangnya bagus and diterima dg baik,positif,barang bagus and terima
Recommend banget,positif,recommend banget
Produk baik pengiriman baik,positif,produk kirim
"i love sandisk,original,sgt memuaskan...recommended bgt dech dg sandisk ini....",positif,i love sandiskoriginalsgt memuaskanrecommended banget deh sandisk
sangat yakin jaminan mutu dan jaminan garansi. 10 thn yang lalu pertama kali punya ADATA yg 2 GB dan masih oke sampai saat ini,positif,jamin mutu jamin garansi 10 kali adata 2 gb oke
barang ok banget,positif,barang oke banget
barang istimewa pengiriman cepat mudah2an awet,positif,barang istimewa kirim cepat mudah mudah awet
"puas lah, mantap buat dukung hape",positif,puas mantap dukung telepon genggam
tv Android sdh diterima .....semoga bisa bertungsi dg baik.Hadiah braketnya koq ndak ada y.,positif,televisi android terima moga bertungsi baikhadiah braketnya iya
MANTAF JIWA pokok Nya MAKASIH SELLER DAN MAS KURIR NYA,positif,mantap jiwa pokok nya terima kasih seller mas kurir nya
"tv y ok bgt, pengiriman cpat kurir y juga ramah bgt, pokok y top bgt deh, mksh lazada",positif,televisi iya oke banget kirim cepat kurir iya ramah banget pokok iya top banget deh terima kasih lazada
"allhamdullilah kemarin sore bayar , langsung sampe tdi pagi .  semoga awet",positif,allhamdullilah kemarin sore bayar langsung pagi moga awet
mantap tidak ada lecet... semoga awet aja... tp jelek nya gak di paking kayu pengiriman nya... tp TV nya aman tanpa ada rusak,positif,mantap lecet moga awet jelek nya paking kayu kirim nya televisi nya aman rusak
Barang bagus pengiriman cepat terimakasih,positif,barang bagus kirim cepat terima kasih
Mantaaaaap selalu,positif,mantap
"paket sdh kami terima dalam keadaan bagus. packing lapis kotak jadinya aman. Tv berfungsi bagus,gambar bagus,suara bagus. mahasih lazada...makasih seller....anda luar biasa 🙏🙏🙏👍👍👍👍👍",positif,paket terima bagus packing lapis kotak aman televisi fungsi bagusgambar bagussuara bagus mahasih lazadamakasih selleranda
pengiriman cepat. bareng bagus...,positif,kirim cepat bareng bagus
"barang sesuai pesanan, dan pengiriman cepat sesuai jadwal.",positif,barang sesuai pesan kirim cepat sesuai jadwal
Sesuai pesanan,positif,sesuai pesan
Barang Sesuai Dengan gambar,positif,barang sesuai gambar
Barangnya kereeeeeeen dah. pengiriman cepat,positif,barang keren kirim cepat
"kok isinya cm 28,2 GB kak,tapi ya sudah gpp lah",positif,isi 282 gb kaktapi
thank you barang cepet sampe aman packaging good tapi gadapet Ms nyaa jd harus beli sendirii,positif,terima kasih barang cepat aman packaging good gadapet ms nya beli
tepat waktu dan packing yang aman menjadi alasan mengapa rating 5 bintang ini diberikan...karena keamanan produk elektronik menjadi hal utama,positif,packing aman alas rating 5 bintang diberikankarena aman produk elektronik utama
"barang bagus,mulus",positif,barang bagusmulus
sudah ampai pas dapat harga flash sale,positif,ampai pas harga flash sale
"produk original, tvnya berfungsi dengan baik, walaupun pengirimannya masih agak molor. thanks LAZADA",positif,produk original televisi fungsi kirim molor terima kasih lazada
"Liat2 tv ny ok... Pas ketemu promo .. Langsung hari kamis pesan produk sampai hari jumat pake kurir van ninja express, tanggapan sangat cepat, kiriman packing rapi, pakai bubble, kurir ramah, gambar jernih sekali pake wifi tanpa kabel antena sudah bisa ditonton, belanja ny pake cicilan 0% cihuy...",positif,lihat lihat televisi nya oke pas ketemu promo langsung kamis pesan produk jumat pakai kurir van ninja express tanggap cepat kirim packing rapi pakai bubble kurir ramah gambar jernih pakai wifi kabel antena tonton belanja nya pakai cicil 0 cihuy
"TV nya bagus. Terbaik di rentang harga 1 jtan, untuk pengiriman cepat, 2 hari smpe dr tgl pemesanan. semoga awet. dan ternyata bisa full HD walaupun di deskripsi cuma HD",positif,televisi nya bagus rentang harga 1 jtan kirim cepat 2 tanggal mesan moga awet nyata full high definition deskripsi high definition
"sumpah keren abis tidak ad kecewa packing rapi, dan gk ad yg lecet d stel pun lngsung ok mksih",positif,sumpah keren habis kecewa packing rapi lecet stel langsung oke terima kasih
"Tv nya mantap., ke bali butuh waktu 5 hari, barang bagus packing kayu pokoknya mantap recommendable, barang no cacat, cuma tinggal tunggu bomus hooq gratisnya saja. Thanks xiaomi, thanks lazada",positif,televisi nya mantap bal butuh 5 barang bagus packing kayu pokok mantap recommendable barang no cacat tinggal tunggu bomus hooq gratis terima kasih xiaomi terima kasih lazada
alhmdllh nyampei juga tvnya gan....sesuai pick mantaffff semoga awet slmanya.trma ksh gan semoga makin sukses sllu....,positif,alhamdulillah nyampei televisi gansesuai pick mantaf moga awet slmanyatrma kasih juragan moga sukses
"Pengiriman aman dan cepat, barang berfungsi dengan baik dan kualitas lumayan... mungkin akan lebih baik bila sdh supprot dvbt2",positif,kirim aman cepat barang fungsi kualitas lumayan supprot dvbt2
Very good item,positif,good hitam
Saya mau ambil laptop Tapi cicil Gimana caranya,positif,ambil laptop cicil
"barang sesuai deskripsi, cepat sampai... thx lazada",positif,barang sesuai deskripsi cepat terima kasih lazada
"tv bagus berfungsi normal,  mantap.",positif,televisi bagus fungsi normal mantap
"pengiriman lumayan lama, tp barang sesuai deskripsi. kondisi pengemasan baik plus buble wrap. sempat ragu tdk ada packingan kayu krn pengiriman cukup jauh. tapi info driver dilepas packing kayu digudang... overall good... 👍",positif,kirim lumayan barang sesuai deskripsi kondisi emas plus buble wrap ragu packingan kayu kirim info driver lepas packing kayu gudang overall good
"barang bagus,langsung bisa di pakai, q suka,makasihh",positif,barang baguslangsung pakai sukamakasihh
setelah beli ini tv...rmh saya d sita bank,positif,beli tvrmh sita bank
bagus puas makasih lazada. pesen ga lama cuma 2 hari. suka suka suka,positif,bagus puas terima kasih lazada pesan 2 suka suka suka
"Produk berkualitas.., cuma kalah merk... dn bagi sy merk itu gaq penting,, yg penting kualitas brng",positif,produk kualitas kalah merek merek gaq kualitas barang
"Barang sesuai dengan yg dipesan, recommended seller !",positif,barang sesuai pes recommended seller
top markop,positif,top markop
"😃😃😃😃😃 menyenangkan, anak2 suka sekali, pengiriman super cepat.....👍👍👍👍👍",positif,senang anak anak suka kirim super cepat
"brng sdh diterima dgn baik, brmg sesuai iklannya, respon pemgirimannya sangat baik, terima kasih.",positif,barang terima brmg sesuai iklan respon pemgirimannya terima kasih
"sesuai pesanan, barang OK",positif,sesuai pesan barang oke
"Diterima dalam keadaan baik, sudah dicoba & berfungsi ok.",positif,terima coba fungsi oke
Barang bagus.... kualitas baik👍,positif,barang bagus kualitas
barang ok..,positif,barang oke
"cukup membantu harddisk sy yg telanjang, skrg udah bisa dipakai lagi.",positif,bantu harddisk telanjang pakai
Pengiriman cpt.. Brg n bonus sesuai gmbr.. Bs byr d rmh.. Pengalaman pertama yg memuaskan.. :),positif,kirim cepat barang bonus sesuai gambar bayar rumah alam muas
"Packing rapi, waktu pengiriman standart, barang oke.. touchpad nya sempet gak bs, tp setelah di instal drivernya udah normal.. Overall Good...",positif,packing rapi kirim standart barang oke touchpad nya instal sopir normal overall good
flashdisk usb 3 mantappp... lancar jaya,positif,flashdisk usb 3 mantap lancar jaya
barang sangat bagus dan paking Aman. pertahan prestasinya.,positif,barang bagus paking aman tahan prestasi
barang samapi dengan selamat. tepat waktu. terimakasih lazada,positif,barang selamat terima kasih lazada
"packing rapih,pengiriman cepet mantap dah",positif,packing rapihpengiriman cepat mantap
Mav ni baru kasih ulasan..buyar bintang yang jawab,positif,mav nih kasih ulasanbuyar bintang
sdh mendarat gan barangnya original dan garansi,positif,darat juragan barang original garansi
Udah sampai dalam kondisi baik. Tapi waktu pengiriman cukup lama. Udah dari 3 Mei tapi baru diangkut ekspedisi tgl 7,positif,kondisi kirim 3 mei angkut ekspedisi tanggal 7
terima kasih tcl dan lazada.. lebih cepat sampainya dan bagus layanannya..,positif,terima kasih tcl lazada cepat bagus layan
Sesuai dengan spesifikasi!,positif,sesuai spesifikasi
Semoga usahanya alloh beri lancar dan barokah mas komaru....,positif,moga usaha allah lancar barakat mas komaru
barang bagus ....,positif,barang bagus
sangat baik,positif,
mantapp... sesuai pesanan,positif,mantap sesuai pesan
barang ok Bekerja dengan baik,positif,barang oke kerja
top banget...langsung pakai,positif,top bangetlangsung pakai
"Barang sesuai pesanan, pengiriman sgt cepat, thanks yah....",positif,barang sesuai pesan kirim cepat terima kasih
Kapan geratis :),positif,gerat
"barang bagus, sesuai pesanan",positif,barang bagus sesuai pesan
"mantap,mendarat dengan selamat,terimakasih",positif,mantapmendarat selamatterimakasih
"barang sdh datang dan sdh dipasang,  mantappp,  thanks lazada",positif,barang pasang mantap terima kasih lazada
"barang ya mantul, lazada emang oke👍",positif,barang mantap lazada oke
Mantap dah... Moga awet,positif,mantap moga awet
Barang telah sampai 1 tahun yg lalu ...maaf baru sempat tulis ulasan...👍👍👍,positif,barang 1 maaf tulis ulas
mantap dah... imut,positif,mantap imut
"bagus2 aja...cuma stiker2 HDMI dll yg di tempel di telivisi sebaiknya jjangan pakai sticker yg kertas yg susah di kletek ,,,,sebaiknya stiker plastik yg mudah di kletek , di cabut dan dibersihkan   angan tempelan",positif,bagus bagus ajacuma stiker2 hdmi tempel telivisi jjangan pakai sticker kertas susah kletek stiker plastik mudah kletek pergi bersih angan tempel
Barang yang diterima Bagus. Kemasan sangat terjaga dengan baik.  Di pakai juga gak ada masalah selama ini.  Mau order lagi flashdisk nya.,positif,barang terima bagus kemas jaga pakai order flashdisk nya
"Cepet banget sampainya, dan Cs nya jg membantu, sempet bermasalah pas mau pesen dgn aplikasinya, tp Cs nya kooperatif. Pengiriman cepat juga.. Thank you",positif,cepat banget rekan nya bantu pas pesan aplikasi rekan nya kooperatif kirim cepat terima kasih
Very good item ..Delivery faster than I expected.,positif,good hitam delivery faster tahan i expected
"cocok, harga miring, recommend",positif,cocok harga miring recommend
"Tv nya ok,,packing rapi,,tapi sy sdh coba semua antena indor dan otdoor tetap saja tdk dpt cannel,,mungkin lokasi sy yg kurang bagus,,jadi tv buat main game ps saja dech lumayan,,pengiriman cepat,kurir baik dan ramah,terima kasih lazada n olshop,,tetap dijaga kwalitas produknya y",positif,televisi nya okpacking rapitapi coba antena indor otdoor cannelmungkin lokasi bagusjadi televisi main game play station deh lumayanpengiriman cepatkurir ramahterima kasih lazada olshoptetap jaga kualitas produk iya
alhamdulillah tv nya awet,positif,alhamdulillah televisi nya awet
"Alhamdulillah TV sampai dengan baik dengan kurir mobil yang baik juga. Bisa punya TV seperti di rental PS, dengan harga ramah kualitas mewah.",positif,alhamdulillah televisi kurir mobil televisi rental play station harga ramah kualitas mewah
"fast respon... barang bagus... puas bgt, trims lazada & xiaomi... semoga awet...",positif,fast respon barang bagus puas banget terima kasih lazada xiaomi moga awet
"Kira kira yg beli siapa yaaaa ?? Mulai di produksi, kemudian di release, sampe detik ini laku berapa ya ??? Apakah ada fitur anti lapar, anti haus, anti ngantuk ato yg paling penting semakin kaya raya (anti miskin), setelah beli TV ini...",positif,beli produksi release detik laku fitur anti lapar anti haus anti antuk kayak raya anti miskin beli televisi
terima kasih lazada... akhirnya dapet tv murah tapi kualitas jya bagus bgt... thanks juga coocaa indonesia,positif,terima kasih lazada televisi murah kualitas jya bagus banget terima kasih coocaa indonesia
Sangat bagus,positif,bagus
good bagus baik apik yahud cendol dawet,positif,good bagus apik yahud cendol dawet
